WORD: least, FREQ: 1
WORD: good, FREQ: 1
WORD: reason, FREQ: 1
WORD: dislike, FREQ: 1
WORD: whose, FREQ: 1
WORD: charity, FREQ: 1
WORD: efforts, FREQ: 1
WORD: dismisses, FREQ: 1
WORD: laughingly, FREQ: 1
WORD: state, FREQ: 1
WORD: ticking, FREQ: 1
WORD: particularly, FREQ: 1
WORD: pupil, FREQ: 1
WORD: obsequious, FREQ: 1
WORD: concerted, FREQ: 1
WORD: effort, FREQ: 1
WORD: along, FREQ: 1
WORD: flattering, FREQ: 1
WORD: talk, FREQ: 1
WORD: insincere, FREQ: 1
WORD: teeth, FREQ: 1
WORD: baring, FREQ: 1
WORD: grins, FREQ: 1
WORD: obliquely, FREQ: 1
WORD: insults, FREQ: 1
WORD: comfort, FREQ: 1
WORD: challenged, FREQ: 1
WORD: ensue, FREQ: 1
WORD: family, FREQ: 1
WORD: topics, FREQ: 1
WORD: ranging, FREQ: 1
WORD: civic, FREQ: 1
WORD: responsibility, FREQ: 1
WORD: evil, FREQ: 1
WORD: far, FREQ: 1
WORD: culmination, FREQ: 1
WORD: career, FREQ: 1
WORD: twice, FREQ: 1
WORD: second, FREQ: 1
WORD: grand, FREQ: 1
WORD: prix, FREQ: 1
WORD: directing, FREQ: 1
WORD: acceptance, FREQ: 1
WORD: speech, FREQ: 1
WORD: great, FREQ: 1
WORD: stage, FREQ: 1
WORD: perhaps, FREQ: 1
WORD: fitting, FREQ: 1
WORD: choice, FREQ: 1
WORD: year, FREQ: 1
WORD: anniversary, FREQ: 1
WORD: tacitly, FREQ: 1
WORD: acknowledging, FREQ: 1
WORD: protests, FREQ: 1
WORD: led, FREQ: 1
WORD: deaths, FREQ: 1
WORD: want, FREQ: 1
WORD: dedicate, FREQ: 1
WORD: mentioned, FREQ: 1
WORD: workers, FREQ: 1
WORD: killed, FREQ: 1
WORD: soma, FREQ: 1
WORD: mine, FREQ: 1
WORD: disaster, FREQ: 1
WORD: occurred, FREQ: 1
WORD: prior, FREQ: 1
WORD: commencement, FREQ: 1
WORD: divided, FREQ: 1
WORD: audiences, FREQ: 1
WORD: reams, FREQ: 1
WORD: challenging, FREQ: 1
WORD: minute, FREQ: 1
WORD: became, FREQ: 1
WORD: early, FREQ: 1
WORD: critics’, FREQ: 1
WORD: contender, FREQ: 1
WORD: screened, FREQ: 1
WORD: festival’s, FREQ: 1
WORD: nominations, FREQ: 1
WORD: category, FREQ: 1
WORD: recipients, FREQ: 1
WORD: nominees, FREQ: 1
WORD: result, FREQ: 1
WORD: credits, FREQ: 1
WORD: imdb, FREQ: 1
WORD: acquire, FREQ: 1
WORD: picks, FREQ: 1
WORD: rights, FREQ: 1
WORD: september, FREQ: 1
WORD: boxofficemojo, FREQ: 1
WORD: intl, FREQ: 1
WORD: page, FREQ: 1
WORD: wk, FREQ: 1
WORD: id, FREQ: 1
WORD: fkisuykusuwinter01, FREQ: 1
WORD: harrowing, FREQ: 1
WORD: reuters, FREQ: 1
WORD: reports, FREQ: 1
WORD: submits, FREQ: 1
WORD: oscar, FREQ: 1
WORD: screen, FREQ: 1
WORD: daily, FREQ: 1
WORD: august, FREQ: 1
WORD: staff, FREQ: 1
WORD: distributes, FREQ: 1
WORD: coproductions, FREQ: 1
WORD: cineuropa, FREQ: 1
WORD: shoot, FREQ: 1
WORD: co, FREQ: 1
WORD: uk, FREQ: 1
WORD: rottentomatoes, FREQ: 1
WORD: unafraid, FREQ: 1
WORD: tackle, FREQ: 1
WORD: classic, FREQ: 1
WORD: themes, FREQ: 1
WORD: rogerebert, FREQ: 1
WORD: huffingtom, FREQ: 1
WORD: bbc, FREQ: 1
WORD: roger, FREQ: 1
WORD: ebert, FREQ: 1
WORD: ready, FREQ: 1
WORD: shut, FREQ: 1
WORD: eye, FREQ: 1
WORD: media, FREQ: 1
WORD: limited, FREQ: 1
WORD: york, FREQ: 1
WORD: hollywood, FREQ: 1
WORD: reporter, FREQ: 1
WORD: internet, FREQ: 1
WORD: database, FREQ: 1
WORD: kasaba, FREQ: 1
WORD: clouds, FREQ: 1
WORD: climates, FREQ: 1
WORD: winning, FREQ: 1
WORD: union, FREQ: 1
WORD: pacific, FREQ: 1
WORD: iris, FREQ: 1
WORD: lieutenant, FREQ: 1
WORD: weekend, FREQ: 1
WORD: red, FREQ: 1
WORD: meadows, FREQ: 1
WORD: brief, FREQ: 1
WORD: encounter, FREQ: 1
WORD: maría, FREQ: 1
WORD: candelaria, FREQ: 1
WORD: neecha, FREQ: 1
WORD: nagar, FREQ: 1
WORD: turning, FREQ: 1
WORD: point, FREQ: 1
WORD: symphonie, FREQ: 1
WORD: pastorale, FREQ: 1
WORD: chance, FREQ: 1
WORD: men, FREQ: 1
WORD: wings, FREQ: 1
WORD: rome, FREQ: 1
WORD: open, FREQ: 1
WORD: city, FREQ: 1
WORD: miss, FREQ: 1
WORD: julie, FREQ: 1
WORD: miracle, FREQ: 1
WORD: milan, FREQ: 1
WORD: tragedy, FREQ: 1
WORD: othello, FREQ: 1
WORD: moor, FREQ: 1
WORD: venice, FREQ: 1
WORD: cents, FREQ: 1
WORD: worth, FREQ: 1
WORD: hope, FREQ: 1
WORD: wages, FREQ: 1
WORD: fear, FREQ: 1
WORD: gate, FREQ: 1
WORD: hell, FREQ: 1
WORD: marty, FREQ: 1
WORD: silent, FREQ: 1
WORD: friendly, FREQ: 1
WORD: persuasion, FREQ: 1
